candidate_id,rank,score,reasoning
CAND_0018499,25,0.6154,"Senior Machine Learning Engineer with 7.2 years of experience in recommendation and retrieval systems, most recently at Zomato. Career history includes work on ranking, offline evaluation and retrieval systems. Active on the platform as of 2026-05-13 and open to work."
CAND_0091909,26,0.6136,"Machine Learning Engineer with 6.9 years of experience in recommendation and retrieval systems, most recently at Rephrase.ai. Has hands-on experience building recommendation, ranking and relevance matching systems. Active on the platform as of 2026-03-18 and open to work."
CAND_0005649,27,0.6108,"Senior Data Scientist with 7.4 years of experience in recommendation and retrieval systems, most recently at Sarvam AI. Has hands-on experience building search, offline evaluation and ranking systems. Active on the platform as of 2026-04-14 and open to work. Notice period of 90 days may slow hiring."
CAND_0065878,28,0.6105,"Senior Data Scientist with 7.8 years of experience in recommendation and retrieval systems, most recently at Niramai. Has hands-on experience building ranking, search and recommendation systems. Active on the platform as of 2026-03-23 and open to work."
CAND_0006557,29,0.6084,"NLP Engineer with 7.9 years of experience in recommendation and retrieval systems, most recently at Paytm. Has hands-on experience building ranking, search and recommendation systems. Active on the platform as of 2026-04-10 and open to work. Notice period of 120 days may slow hiring."
CAND_0086151,30,0.6082,"Recommendation Systems Engineer with 7.7 years of experience in recommendation and retrieval systems, most recently at Wysa. Has hands-on experience building ranking, search and recommendation systems. Active on the platform as of 2026-03-23 and open to work. Notice period of 120 days may slow hiring."
CAND_0091534,31,0.6059,"AI Engineer with 16.6 years of experience in recommendation and retrieval systems, most recently at Flipkart. Has hands-on experience building ranking, search and offline evaluation systems. Strong recruiter response rate (84%)."
CAND_0098846,32,0.6044,"AI Engineer with 7.6 years of experience in recommendation and retrieval systems, most recently at upGrad. Has hands-on experience building ranking, search and offline evaluation systems. Active on the platform as of 2026-04-23 and open to work."
CAND_0064326,33,0.6036,"Search Engineer with 7.6 years of experience in recommendation and retrieval systems, most recently at Sarvam AI. Has hands-on experience building ranking, search and offline evaluation systems. Actively available with a strong recruiter response rate."
CAND_0071974,34,0.6007,"Senior AI Engineer with 7.8 years of experience in recommendation and retrieval systems, most recently at Netflix. Has hands-on experience building recommendation, ranking and retrieval systems. Actively available with a strong recruiter response rate."
CAND_0007412,35,0.5993,"Applied ML Engineer with 7.4 years of experience in recommendation and retrieval systems, most recently at Zoho. Has hands-on experience building offline evaluation, ranking and search systems. Actively available with a strong recruiter response rate. 3 of 5 roles under 18 months — possible title-chasing pattern."
CAND_0039383,36,0.5992,"Applied ML Engineer with 7.1 years of experience in recommendation and retrieval systems, most recently at Meesho. Has hands-on experience building ranking, search and retrieval systems. Active on the platform as of 2026-03-19 and open to work. Notice period of 90 days may slow hiring."
CAND_0011432,37,0.5982,"Senior Data Scientist with 7.6 years of experience in recommendation and retrieval systems, most recently at Amazon. Has hands-on experience building ranking, offline evaluation and relevance matching systems. Active on the platform as of 2026-03-16 and open to work."
CAND_0055992,38,0.5960,"AI Engineer with 16.9 years of experience in recommendation and retrieval systems, most recently at CRED. Has hands-on experience building offline evaluation, search and recommendation systems. Actively available with a strong recruiter response rate. 3 of 4 roles under 18 months — possible title-chasing pattern."
CAND_0010685,39,0.5929,"NLP Engineer with 6.7 years of experience in recommendation and retrieval systems, most recently at Rephrase.ai. Has hands-on experience building ranking, search and retrieval systems. Actively available with a strong recruiter response rate."
CAND_0061257,40,0.5926,"Staff Machine Learning Engineer with 8.0 years of experience in information retrieval and ranking systems, most recently at LinkedIn. Has hands-on experience building ranking, search and offline evaluation systems. Actively available with a strong recruiter response rate."
CAND_0099401,41,0.5924,"NLP Engineer with 7.7 years of experience in recommendation and retrieval systems, most recently at Dream11. Has hands-on experience building recommendation, ranking and search systems. Recruiter response rate is 42%. Notice period of 90 days may slow hiring."
CAND_0017960,42,0.5921,"Recommendation Systems Engineer with 7.7 years of experience in recommendation and retrieval systems, most recently at Nykaa. Has hands-on experience building ranking, offline evaluation and retrieval systems. Actively available with a strong recruiter response rate."
CAND_0030953,43,0.5812,"Search Engineer with 7.8 years of experience in recommendation and retrieval systems, most recently at Nykaa. Has hands-on experience building ranking, recommendation and search systems. Recruiter response rate is 63%. 3 of 5 roles under 18 months — possible title-chasing pattern."
CAND_0042100,44,0.5771,"Machine Learning Engineer with 7.3 years of experience in recommendation and retrieval systems, most recently at Freshworks. Has hands-on experience building ranking, search and relevance matching systems. Actively available with a strong recruiter response rate. Notice period of 90 days may slow hiring."
CAND_0044883,45,0.5746,"AI Engineer with 6.3 years of experience in recommendation and retrieval systems, most recently at Mad Street Den. Has hands-on experience building offline evaluation, search and ranking systems. Strong recruiter response rate (84%). 3 of 4 roles under 18 months — possible title-chasing pattern."
CAND_0087630,46,0.5728,"AI Engineer with 7.2 years of experience in recommendation and retrieval systems, most recently at Vedantu. Career history includes work on recommendation, ranking and relevance matching systems. Recruiter response rate is 45%."
CAND_0083307,47,0.5720,"Search Engineer with 7.8 years of experience in recommendation and retrieval systems, most recently at CRED. Has hands-on experience building offline evaluation, ranking and search systems. Actively available with a strong recruiter response rate. Notice period of 120 days may slow hiring."
CAND_0050454,48,0.5684,"AI Engineer with 6.8 years of experience in recommendation and retrieval systems, most recently at Rephrase.ai. Has hands-on experience building search, ranking and retrieval systems. Actively available with a strong recruiter response rate."
CAND_0018722,49,0.5673,"Recommendation Systems Engineer with 6.6 years of experience in recommendation and retrieval systems, most recently at Saarthi.ai. Has hands-on experience building search, ranking and retrieval systems. Actively available with a strong recruiter response rate. Notice period of 90 days may slow hiring."
CAND_0062247,50,0.5667,"AI Engineer with 7.3 years of experience in recommendation and retrieval systems, most recently at Google. Has hands-on experience building search, ranking and retrieval systems. Actively available with a strong recruiter response rate."
CAND_0044222,51,0.5622,"AI Engineer with 7.7 years of experience in recommendation and retrieval systems, most recently at PolicyBazaar. Has hands-on experience building search, ranking and retrieval systems. Active on the platform as of 2026-05-15 and open to work."
CAND_0088025,52,0.5618,"Staff Machine Learning Engineer with 8.6 years of experience in recommendation and retrieval systems, most recently at Yellow.ai. Has hands-on experience building recommendation, ranking and A/B testing systems. Actively available with a strong recruiter response rate. Notice period of 90 days may slow hiring."
CAND_0033179,53,0.5602,"AI Research Engineer with 6.9 years of experience in recommendation and retrieval systems, most recently at Wipro. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate."
CAND_0096142,54,0.5597,"Applied ML Engineer with 5.0 years of experience in recommendation and retrieval systems, most recently at upGrad. Career history includes work on ranking, recommendation and relevance matching systems. Actively available with a strong recruiter response rate. Notice period of 120 days may slow hiring."
CAND_0014440,55,0.5578,"Recommendation Systems Engineer with 6.4 years of experience in recommendation and retrieval systems, most recently at CRED. Career history includes work on ranking, search and retrieval systems. Active on the platform as of 2026-05-10 and open to work."
CAND_0007411,56,0.5532,"Senior Machine Learning Engineer with 8.0 years of experience in recommendation and retrieval systems, most recently at Amazon. Has hands-on experience building recommendation, ranking and A/B testing systems. Low recruiter response rate (12%) — may be harder to reach."
CAND_0045250,57,0.5516,"Applied ML Engineer with 6.6 years of experience in recommendation and retrieval systems, most recently at Rephrase.ai. Career history includes work on ranking, retrieval and search systems. Strong recruiter response rate (74%)."
CAND_0040117,58,0.5512,"Recommendation Systems Engineer with 6.5 years of experience in recommendation and retrieval systems, most recently at PhonePe. Has hands-on experience building recommendation, offline evaluation and ranking systems. Active on the platform as of 2026-03-17 and open to work. Skill duration looks too high for total experience."
CAND_0070398,59,0.5486,"Machine Learning Engineer with 7.2 years of experience in recommendation and retrieval systems, most recently at Genpact AI. Has hands-on experience building search, ranking and retrieval systems. Active on the platform as of 2026-04-14 and open to work. Notice period of 120 days may slow hiring."
CAND_0092278,60,0.5480,"Senior NLP Engineer with 6.8 years of experience in recommendation and retrieval systems, most recently at Microsoft. Has hands-on experience building recommendation, ranking and offline evaluation systems. Low recruiter response rate (7%) — may be harder to reach. Notice period of 90 days may slow hiring."
CAND_0043860,61,0.5479,"Junior ML Engineer with 6.1 years of experience in recommendation and retrieval systems, most recently at Aganitha. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate."
CAND_0010770,62,0.5476,"Recommendation Systems Engineer with 15.2 years of experience in recommendation and retrieval systems, most recently at Aganitha. Has hands-on experience building ranking, search and relevance matching systems. Actively available with a strong recruiter response rate."
CAND_0069905,63,0.5474,"Applied ML Engineer with 6.6 years of experience in recommendation and retrieval systems, most recently at Sarvam AI. Has hands-on experience building search, offline evaluation and retrieval systems. Actively available with a strong recruiter response rate. Notice period of 90 days may slow hiring."
CAND_0052335,64,0.5470,"Applied ML Engineer with 6.4 years of experience in recommendation and retrieval systems, most recently at Aganitha. Has hands-on experience building ranking, search and offline evaluation systems. Actively available with a strong recruiter response rate."
CAND_0043228,65,0.5466,"Applied ML Engineer with 6.8 years of experience in recommendation and retrieval systems, most recently at Zoho. Career history includes work on ranking, search and retrieval systems. Recruiter response rate is 41%."
CAND_0037566,66,0.5460,"Machine Learning Engineer with 6.9 years of experience in recommendation and retrieval systems, most recently at LinkedIn. Career history includes work on offline evaluation, retrieval and recommendation systems. Active on the platform as of 2026-04-20 and open to work."
CAND_0061265,67,0.5398,"Recommendation Systems Engineer with 6.6 years of experience in recommendation and retrieval systems, most recently at Zoho. Career history includes work on search, ranking and retrieval systems. Actively available with a strong recruiter response rate. Notice period of 120 days may slow hiring."
CAND_0070202,68,0.5392,"Machine Learning Engineer with 5.1 years of experience in recommendation and retrieval systems, most recently at BYJU'S. Has hands-on experience building ranking, search and recommendation systems. Recruiter response rate is 60%. Notice period of 90 days may slow hiring."
CAND_0064904,69,0.5381,"AI Engineer with 4.9 years of experience in recommendation and retrieval systems, most recently at LinkedIn. Has hands-on experience building recommendation, retrieval and search systems. Actively available with a strong recruiter response rate. Skill duration looks too high for total experience."
CAND_0033861,70,0.5371,"Senior NLP Engineer with 8.0 years of experience in recommendation and retrieval systems, most recently at Mad Street Den. Has hands-on experience building search, recommendation and ranking systems. Low recruiter response rate (16%) — may be harder to reach."
CAND_0016659,71,0.5339,"ML Engineer with 4.4 years of experience in recommendation and retrieval systems, most recently at Glance. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate."
CAND_0013536,72,0.5337,"Applied ML Engineer with 14.1 years of experience in recommendation and retrieval systems, most recently at Haptik. Career history includes work on ranking, retrieval and search systems. Actively available with a strong recruiter response rate. Notice period of 90 days may slow hiring."
CAND_0061655,73,0.5323,"Machine Learning Engineer with 4.6 years of experience in recommendation and retrieval systems, most recently at Krutrim. Has hands-on experience building ranking, search and recommendation systems. Strong recruiter response rate (88%). Skill duration looks too high for total experience."
CAND_0058688,74,0.5315,"AI Engineer with 6.7 years of experience in recommendation and retrieval systems, most recently at Vedantu. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate."
CAND_0048558,75,0.5303,"Data Scientist with 6.7 years of experience in recommendation and retrieval systems, most recently at Rephrase.ai. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate."
CAND_0012957,76,0.5268,"Search Engineer with 4.9 years of experience in recommendation and retrieval systems, most recently at Razorpay. Has hands-on experience building ranking, search and recommendation systems. Recruiter response rate is 67%. Skill duration looks too high for total experience."
CAND_0027801,77,0.5262,"NLP Engineer with 7.4 years of experience in recommendation and retrieval systems, most recently at InMobi. Career history includes work on search, retrieval and relevance matching systems. Active on the platform as of 2026-04-12 and open to work. Notice period of 120 days may slow hiring."
CAND_0079284,78,0.5246,"Machine Learning Engineer with 4.9 years of experience in recommendation and retrieval systems, most recently at Google. Has hands-on experience building ranking, recommendation and retrieval systems. Strong recruiter response rate (79%). Skill duration looks too high for total experience."
CAND_0057563,79,0.5227,"NLP Engineer with 6.8 years of experience in recommendation and retrieval systems, most recently at Locobuzz. Has hands-on experience building ranking, search and recommendation systems. Strong recruiter response rate (83%). Skill duration looks too high for total experience."
CAND_0002025,80,0.5196,"Senior AI Engineer with 5.9 years of experience in recommendation and retrieval systems, most recently at Apple. Career history includes work on recommendation, retrieval and ranking systems. Actively available with a strong recruiter response rate. Skill duration looks too high for total experience."
CAND_0095528,81,0.5189,"Senior Data Scientist with 5.3 years of experience in recommendation and retrieval systems, most recently at Netflix. Career history includes work on recommendation, ranking and relevance matching systems. Active on the platform as of 2026-05-03 and open to work."
CAND_0042029,82,0.5184,"Senior Data Scientist with 6.5 years of experience in recommendation and retrieval systems, most recently at Flipkart. Has hands-on experience building ranking, offline evaluation and retrieval systems. Recruiter response rate is 67%. Skill duration looks too high for total experience."
CAND_0046132,83,0.5168,"AI Research Engineer with 4.3 years of experience in recommendation and retrieval systems, most recently at Verloop.io. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate."
CAND_0055905,84,0.5168,"Senior Machine Learning Engineer with 8.1 years of experience in information retrieval and ranking systems, most recently at Flipkart. Has hands-on experience building search, offline evaluation and ranking systems. Actively available with a strong recruiter response rate. Based in London and not open to relocation — no visa sponsorship available."
CAND_0021410,85,0.5161,"Junior ML Engineer with 4.0 years of experience in recommendation and retrieval systems, most recently at Krutrim. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate."
CAND_0067535,86,0.5161,"Junior ML Engineer with 6.8 years of experience in recommendation and retrieval systems, most recently at Locobuzz. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate."
CAND_0065786,87,0.5153,"AI Specialist with 4.9 years of experience in recommendation and retrieval systems, most recently at Swiggy. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate."
CAND_0007596,88,0.5149,"Junior ML Engineer with 4.4 years of experience in recommendation and retrieval systems, most recently at Flipkart. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate."
CAND_0010149,89,0.5138,"ML Engineer with 6.9 years of experience in recommendation and retrieval systems, most recently at Glance. Some exposure to recommendation, ranking and relevance matching in past roles. Actively available with a strong recruiter response rate. Notice period of 90 days may slow hiring."
CAND_0030468,90,0.5136,"Senior Applied Scientist with 5.4 years of experience in recommendation and retrieval systems, most recently at Swiggy. Has hands-on experience building recommendation, A/B testing and ranking systems. Actively available with a strong recruiter response rate. Skill duration looks too high for total experience."
CAND_0004402,91,0.5135,"AI Research Engineer with 6.0 years of experience in recommendation and retrieval systems, most recently at Yellow.ai. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate."
CAND_0054123,92,0.5133,"Applied ML Engineer with 4.7 years of experience in recommendation and retrieval systems, most recently at Meta. Has hands-on experience building recommendation, search and ranking systems. Strong recruiter response rate (87%). Skill duration looks too high for total experience."
CAND_0058300,93,0.5126,"AI Research Engineer with 4.5 years of experience in recommendation and retrieval systems, most recently at Wipro. Career history includes work on recommendation, ranking and relevance matching systems. Active on the platform as of 2026-04-19 and open to work. Notice period of 90 days may slow hiring."
CAND_0016163,94,0.5118,"Applied ML Engineer with 6.7 years of experience in recommendation and retrieval systems, most recently at Dream11. Career history includes work on search, retrieval and relevance matching systems. Actively available with a strong recruiter response rate. Notice period of 120 days may slow hiring."
CAND_0035879,95,0.5094,"AI Research Engineer with 4.5 years of experience in recommendation and retrieval systems, most recently at Krutrim. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate. Notice period of 120 days may slow hiring."
CAND_0033987,96,0.5085,"ML Engineer with 6.8 years of experience in recommendation and retrieval systems, most recently at Wysa. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate. Notice period of 90 days may slow hiring."
CAND_0077956,97,0.5084,"Computer Vision Engineer with 6.4 years of experience in recommendation and retrieval systems, most recently at Niramai. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate. Notice period of 120 days may slow hiring."
CAND_0074225,98,0.5077,"Machine Learning Engineer with 4.3 years of experience in recommendation and retrieval systems, most recently at Unacademy. Has hands-on experience building ranking, offline evaluation and relevance matching systems. Actively available with a strong recruiter response rate. Skill duration looks too high for total experience."
CAND_0076163,99,0.5071,"NLP Engineer with 6.9 years of experience in recommendation and retrieval systems, most recently at Ola. Career history includes work on ranking, search and recommendation systems. Actively available with a strong recruiter response rate."
CAND_0080344,100,0.5070,"Senior Software Engineer (ML) with 4.9 years of experience in recommendation and retrieval systems, most recently at Zoho. Career history includes work on recommendation, ranking and relevance matching systems. Actively available with a strong recruiter response rate. Notice period of 90 days may slow hiring."
